order,1,2,3,4,5,6
129,9.18,7.52,4,22.03,14.71,2.56
130,9.04,5.43,1.13,13.65,3.91,26.84
131,10.79,12.49,2.7,3.22,21.35,9.45
132,12.43,0.95,22.75,15.79,3.62,4.46
133,11.61,19.17,9.67,12.09,1.41,6.05
134,4.56,3.13,20.39,15.85,11.11,4.96
135,2.88,20.52,1.3,20.01,13.48,1.81
136,7.14,16.31,0.91,21.92,3.16,10.56
137,13.04,13.26,9.65,15.44,4.34,4.27
138,5.11,1.46,6.04,4.66,25.88,16.85
139,15.44,3.35,2.64,2.01,20.74,15.82
140,10.19,1.13,16.31,21.41,10.3,0.66
141,5.63,11.42,1.07,1.39,2.02,38.47
142,1,22.92,4.5,1.05,6.01,24.52
143,17.98,1.5,15.58,8.04,5.73,11.17
144,19.76,1.1,6.98,14.43,1.48,16.25
145,13.18,13.1,8.68,3.64,9.5,11.9
146,1.26,21.37,11.66,6.33,16.84,2.54
147,6.5,17.46,0.9,20.67,10.46,4.01
148,1.73,1.16,24.87,20.35,11.71,0.18
149,3.4,18.26,10.15,11.18,0.85,16.16
150,13.9,17.92,11.22,12.35,3.02,1.59
151,6.62,7.74,1.14,13.16,22.77,8.57
152,9.08,16.13,4.15,1.43,7.65,21.56
153,1,22.33,5.76,11.5,0.97,18.44
154,14.83,4.23,16.11,0.82,8.03,15.98
155,14.09,8.07,5.61,1.74,2.56,27.93
156,5.2,18.39,0.99,4.74,15.69,14.99
157,6,3.27,18.4,16.17,13.21,2.95
158,1,1.18,22.4,15.68,16.79,2.95
159,8.38,19.78,3.15,0.95,26.62,1.12
160,11.52,18.03,12.97,2.8,10.23,4.45
161,4.95,21.25,11.97,11.88,3.32,6.63
162,6.16,3.53,19.57,15.08,0.92,14.74
163,16.22,12.11,7.83,9.44,0.72,13.68
164,15.55,6.21,10.84,14.91,0.62,11.87
165,8.52,5.31,15.01,11.87,11.51,7.78
166,1,11.4,2.5,8.34,35.62,1.14
167,1.58,17.01,13.72,9.29,12.16,6.24
168,2.3,22.33,7.71,9.41,8.74,9.51
169,5.32,20.65,4.88,1.3,22,5.85
170,4.78,21.55,14.58,0.72,12.81,5.56
171,16.24,4.57,19.19,5.82,1.61,12.57
172,13.74,3.95,20.64,8.06,10.9,2.71
173,19.29,10.59,14.26,2.29,11.84,1.73
174,12.89,14.88,4.09,17.77,7.18,3.19
175,10.79,19.44,8.6,3.35,16.35,1.47
176,13.01,11.53,7,12.75,10.7,5.01
177,15.81,15.54,11.34,1.71,11.82,3.78
178,1,15.39,18.9,1.86,15.89,6.96
179,14.31,17.35,8.92,5.26,1.71,12.45
180,16.65,11.12,5.85,1.96,6.8,17.62
